iter	Passed	Remaining
0	0	713
1	1	674
2	1	637
3	2	623
4	3	614
5	3	614
6	4	649
7	5	724
8	7	844
9	8	827
10	8	806
11	9	787
12	10	768
13	10	756
14	11	744
15	11	735
16	12	723
17	13	720
18	13	713
19	14	727
20	15	721
21	16	720
22	16	717
23	17	709
24	18	704
25	19	715
26	20	721
27	20	722
28	21	717
29	22	713
30	22	708
31	23	703
32	23	698
33	24	696
34	25	694
35	25	694
36	27	715
37	28	726
38	29	723
39	30	720
40	30	720
41	31	720
42	32	716
43	32	712
44	33	711
45	34	710
46	35	723
47	36	724
48	37	722
49	37	720
50	38	720
51	39	723
52	40	722
53	41	720
54	41	717
55	42	717
56	43	717
57	44	717
58	44	716
59	45	713
60	46	709
61	46	706
62	47	704
63	48	702
64	48	703
65	49	706
66	50	706
67	51	704
68	52	702
69	52	700
70	53	697
71	53	695
72	54	691
73	55	689
74	55	686
75	56	683
76	56	680
77	57	678
78	58	676
79	58	673
80	59	670
81	59	668
82	60	662
83	60	660
84	61	658
85	61	656
86	62	653
87	62	651
88	63	650
89	64	653
90	65	653
91	66	654
92	66	652
93	67	650
94	68	649
95	68	647
96	69	647
97	70	646
98	71	647
99	71	646
100	72	644
101	73	643
102	73	641
103	74	639
104	74	637
105	75	635
106	75	633
107	76	631
108	77	630
109	77	628
110	78	627
111	79	626
112	79	627
113	80	625
114	81	624
115	81	623
116	82	620
117	82	619
118	83	617
119	84	616
120	84	615
121	85	613
122	86	617
123	87	618
124	88	617
125	88	615
126	89	613
127	89	611
128	90	609
129	90	608
130	91	606
131	91	604
132	92	602
133	93	601
134	93	601
135	94	602
136	96	605
137	97	607
138	97	605
139	98	604
140	99	603
141	99	600
142	100	599
143	100	598
144	101	596
145	101	594
146	102	593
147	102	592
148	103	590
149	103	589
150	104	587
151	105	586
152	105	584
153	106	583
154	106	582
155	107	580
156	107	579
157	108	579
158	110	582
159	110	581
160	111	580
161	112	579
162	113	580
163	113	579
164	114	579
165	115	578
166	115	577
167	116	576
168	116	575
169	117	573
170	118	572
171	118	571
172	119	569
173	119	568
174	120	567
175	120	566
176	121	564
177	122	563
178	122	562
179	123	561
180	124	561
181	125	563
182	126	563
183	126	562
184	127	560
185	127	559
186	128	558
187	129	557
188	129	556
189	130	555
190	130	554
191	131	553
192	132	551
193	132	550
194	133	549
195	133	548
196	134	547
197	134	546
198	135	545
199	136	544
200	136	542
201	137	541
202	137	540
203	138	539
204	139	540
205	140	540
206	140	539
207	141	539
208	142	538
209	142	537
210	143	536
211	144	535
212	144	534
213	145	534
214	146	533
215	146	532
216	147	531
217	148	530
218	148	529
219	149	528
220	149	527
221	150	527
222	151	526
223	151	525
224	152	523
225	152	522
226	153	521
227	154	521
228	155	522
229	156	523
230	157	522
231	157	521
232	158	520
233	158	519
234	159	519
235	160	518
236	160	517
237	161	516
238	161	515
239	162	514
240	162	513
241	163	512
242	164	510
243	164	510
244	165	509
245	165	508
246	166	507
247	166	506
248	167	504
249	168	504
250	168	504
251	169	504
252	170	503
253	171	503
254	172	502
255	172	502
256	173	501
257	174	500
258	174	499
259	175	498
260	175	498
261	176	497
262	177	496
263	178	496
264	179	497
265	180	497
266	180	496
267	181	495
268	181	494
269	182	493
270	185	499
271	187	500
272	187	499
273	188	499
274	189	498
275	189	498
276	190	497
277	191	497
278	192	496
279	192	495
280	193	494
281	193	493
282	194	492
283	194	491
284	195	490
285	196	489
286	196	488
287	197	487
288	198	487
289	199	488
290	200	487
291	201	487
292	201	487
293	202	486
294	203	485
295	203	484
296	204	483
297	204	482
298	205	481
299	206	480
300	206	479
301	207	478
302	207	477
303	208	477
304	208	475
305	209	475
306	210	474
307	210	473
308	211	472
309	211	471
310	212	470
311	213	470
312	214	471
313	215	470
314	216	469
315	216	468
316	217	468
317	218	467
318	218	466
319	219	466
320	220	465
321	220	464
322	221	463
323	221	462
324	222	461
325	223	461
326	223	460
327	224	459
328	224	458
329	225	457
330	225	456
331	226	455
332	227	455
333	228	454
334	229	454
335	229	454
336	230	453
337	231	452
338	231	451
339	232	450
340	232	450
341	233	449
342	234	448
343	234	447
344	235	446
345	235	445
346	236	444
347	236	443
348	237	442
349	237	441
350	238	440
351	239	440
352	239	439
353	240	438
354	240	437
355	241	436
356	241	435
357	242	434
358	243	434
